word,general,earn,acq,money,grain,crude,trade,interest,ship,wheat,corn
slifer-NN,9,0,0,5,0,0,1,6,0,0,0
leucadia-NNS,4,0,4,0,0,0,0,0,0,0,0
pursuing-VBG,5,2,0,1,0,1,1,0,1,0,0
moves-NNS,54,4,9,10,6,6,13,9,2,2,1
consummated-VBN,5,0,4,0,1,0,0,0,0,1,0
prior-NN,38,32,2,2,2,1,0,2,0,0,2
trader-NN,31,0,4,9,9,3,4,0,2,2,2
seasonally-RB,25,1,0,3,0,0,21,4,0,0,0
many-NN,4,0,0,0,1,2,2,0,1,1,0
therapy-NN,4,0,4,0,0,0,0,0,0,0,0
august-RB,7,3,1,0,2,1,0,0,0,1,0
excess-NN,44,9,16,5,6,2,3,5,3,4,0
april-VBP,7,2,3,0,0,2,0,0,0,0,0
refund-NN,8,5,0,0,1,0,2,0,0,1,0
pledged-VBD,6,0,1,1,1,0,2,1,0,0,1
merchandise-NN,18,6,4,1,0,0,7,0,0,0,0
pivot-NN,4,0,0,0,0,4,0,0,4,0,0
pledged-VBN,5,0,1,2,0,1,1,1,0,0,0
murray-NN,11,4,3,0,0,4,0,0,0,0,0
staying-VBG,4,0,0,3,1,0,0,0,0,0,1
puts-NNS,4,2,0,2,0,0,0,1,0,0,0
blue-JJ,6,2,4,0,0,0,0,0,0,0,0
cabinet-NN,22,0,4,1,6,7,3,1,3,4,0
ministerial-JJ,6,0,0,0,1,1,4,0,0,0,0
matsunaga-NN,4,0,0,0,0,0,4,0,0,0,0
taken-VBN,137,23,37,25,20,12,19,5,6,8,7
coastal-JJ,19,0,14,0,1,3,0,0,1,1,0
expires-VBZ,4,0,2,0,2,0,0,0,0,1,2
headquartered-VBD,9,0,9,0,0,0,0,0,0,0,0
NUMBER-month-JJ,8,1,0,0,1,1,2,3,0,1,0
headquartered-VBN,5,1,4,0,0,0,0,0,0,0,0
loh-NN,5,5,0,0,0,0,0,0,0,0,0
proceed-VB,27,2,11,0,4,4,4,0,3,0,1
este-NN,10,0,0,0,0,0,10,0,0,0,0
ratio-VBP,4,2,0,0,1,0,0,0,1,0,1
industrialized-JJ,13,0,0,10,0,1,4,3,0,0,0
programme-NN,22,7,3,7,0,2,5,1,0,0,0
party-NN,54,4,15,15,7,5,11,4,2,2,1
baker-NN,201,1,60,94,0,4,47,9,0,0,0
northwest-NN,14,2,2,0,7,2,0,0,2,2,4
lennox-NN,4,4,0,0,0,0,0,0,0,0,0
buenos-NNS,24,0,0,0,23,0,0,0,5,0,19
e-VBP,4,2,2,0,0,0,0,0,0,0,0
resolved-VBN,20,2,6,2,2,3,2,0,4,1,1
ton-NN,11,0,4,0,1,1,0,0,5,0,0
continue-VBP,28,4,7,4,5,1,6,2,1,3,2
resolving-VBG,5,0,2,1,0,0,3,0,0,0,0
items-NNS,69,42,6,0,3,4,16,0,0,0,0
picked-VBN,4,1,1,1,0,1,0,0,1,0,0
deficits-NNS,32,1,0,11,0,3,18,2,2,0,0
croo-NN,9,0,0,0,0,0,7,0,2,0,0
holds-VBZ,57,3,48,3,0,3,1,1,1,0,0
impact-NN,125,41,14,23,15,13,20,10,0,5,9
div-VBP,399,399,0,0,0,0,0,0,0,0,0
chinese-JJ,36,5,2,1,5,3,15,0,6,1,4
pizza-NN,16,0,15,1,0,0,0,0,0,0,0
mthly-RB,21,21,0,0,0,0,0,0,0,0,0
focus-NN,17,1,2,5,2,0,8,0,1,1,0
nonrecurring-VBG,5,5,0,0,0,0,0,0,0,0,0
household-NN,8,4,2,0,0,0,2,0,0,0,0
flags-NNS,10,1,5,0,0,5,0,0,5,0,0
anyone-NN,6,1,3,0,2,0,1,0,0,2,1
hong-IN,19,9,2,1,0,0,5,0,2,0,0
outcome-NN,21,6,5,3,3,2,5,2,0,1,2
annually-RB,33,8,8,1,9,3,5,0,0,2,6
polaroids-NNS,5,1,4,0,0,0,0,0,0,0,0
minerals-NNS,34,4,19,1,4,7,6,0,1,4,0
yes-NNS,7,0,0,2,0,0,5,0,0,0,0
investigations-NNS,8,2,4,0,0,0,1,0,1,0,0
nationwide-JJ,4,0,1,0,1,1,0,0,2,0,0
below-IN,238,32,21,53,29,61,29,33,4,9,13
amcor-NN,5,0,5,0,0,0,0,0,0,0,0
drain-NN,9,2,0,6,0,1,0,5,0,0,0
writing-VBG,6,3,0,0,1,0,2,0,0,1,0
james-NNS,62,9,19,19,1,2,11,4,1,0,0
desire-VBP,5,1,0,1,0,1,1,1,0,0,0
onic-NN,4,0,0,0,4,0,0,0,0,3,2
closely-RB,40,1,8,22,6,1,3,4,2,3,3
borg-warners-NNS,6,0,6,0,0,0,0,0,0,0,0
ratios-NNS,6,3,0,3,0,0,0,0,1,0,0
one-fifth-JJ,4,0,3,0,0,0,1,0,0,0,0
white-JJ,53,0,7,3,8,19,16,1,2,5,3
spot-NN,47,0,0,7,5,34,0,2,4,1,3
diversify-VB,7,1,3,0,0,3,1,0,0,0,0
roll-NN,4,0,0,0,4,0,0,0,2,0,2
speed-VB,10,1,1,5,0,0,5,1,0,0,0
nyse-NN,4,1,3,0,0,0,0,0,0,0,0
glantz-NN,4,0,4,0,0,0,0,0,0,0,0
recording-VBG,6,0,4,0,0,0,1,1,0,0,0
norge-NN,6,0,2,0,0,4,0,0,0,0,0
income-NN,392,311,35,13,17,15,6,10,2,6,5
explore-VB,25,0,16,1,1,7,0,1,1,1,1
pat-IN,5,0,1,0,2,0,0,1,1,2,0
week-NN,642,29,101,132,140,102,88,103,49,52,82
speaking-VBG,49,7,4,9,6,8,14,4,3,5,0
miti-VBP,10,0,0,2,0,0,8,0,0,0,0
note-VBP,14,11,1,0,1,0,0,1,0,1,1
primary-NN,9,6,0,0,2,0,1,0,0,2,0
owner-NN,30,6,24,0,0,1,0,0,1,0,0
projections-NNS,15,6,6,0,0,1,2,0,0,0,0
in--NONE-,9,0,1,3,1,2,3,0,2,0,1
inns-NNS,4,1,2,1,0,0,0,0,0,0,0
bonds-NNS,89,6,12,29,2,3,13,36,0,1,0
financing-VBG,42,6,24,4,1,1,1,7,2,1,0
entitles-VBZ,5,1,3,1,0,0,0,0,0,0,0
agrees-VBZ,4,0,1,2,1,0,1,0,0,1,0
agreements-NNS,159,8,44,51,14,11,24,40,4,14,1
consequences-NNS,4,1,0,0,1,0,1,0,1,1,0
european-NN,14,1,1,8,0,2,4,0,0,0,0
slowing-NN,5,1,0,2,0,0,1,2,0,0,0
main-VBP,15,0,0,3,1,6,2,1,6,0,0
shows-NNS,6,1,2,0,0,2,3,0,0,0,0
emerson-NN,5,3,2,0,0,0,0,0,0,0,0
ask-VB,34,8,2,7,7,6,4,0,1,1,3
cumulative-VBP,4,0,1,0,2,1,0,0,1,1,1
chemlawns-NNS,4,0,4,0,0,0,0,0,0,0,0
wholesale-NN,8,5,2,0,0,0,1,0,0,0,0
nics-NNS,5,0,0,0,0,0,5,0,0,0,0
three-way-JJ,6,0,6,0,0,0,0,0,0,0,0
fisheries-NNS,4,0,0,0,3,0,1,0,0,1,1
construction-NN,67,29,16,2,1,15,6,1,2,0,0
navy-JJ,9,0,0,0,0,5,0,0,9,0,0
company-JJ,8,3,5,0,0,0,0,0,0,0,0
personnel-NN,16,10,5,0,1,2,0,0,0,0,1
wickes-NNS,10,3,7,0,0,0,0,0,0,0,0
banque-NN,11,1,7,2,0,1,1,1,0,0,0
account-VB,7,6,2,0,0,0,0,0,0,0,0
plants-NNS,52,17,15,0,5,8,2,0,6,3,2
limit-NN,41,3,9,15,4,0,7,4,1,2,2
district-VBP,4,0,4,0,0,0,0,0,0,0,0
curve-NN,4,0,0,1,0,1,0,3,0,0,0
icahn-NN,33,0,32,0,0,1,0,0,0,0,0
represented-VBN,7,4,3,0,0,0,0,0,0,0,0
represented-VBD,20,7,6,3,0,3,2,2,0,0,0
t-VB,5,0,5,0,0,0,0,0,0,0,0
forint-NN,7,0,0,7,0,0,1,0,0,0,0
bancorp-NN,42,11,29,0,0,0,0,2,0,0,0
cif-IN,5,0,0,0,0,1,1,0,3,0,0
ratification-NN,6,0,0,0,0,2,5,0,3,0,0
professor-NN,6,0,3,1,0,0,2,0,0,0,0
upward-JJ,11,1,0,5,1,2,1,4,0,0,1
post-world-JJ,4,0,0,3,0,1,0,0,0,0,0
operational-JJ,11,4,2,0,3,1,0,0,3,1,0
attitude-NN,7,0,1,2,1,1,3,0,0,1,0
flow-VB,4,0,2,0,0,0,0,2,0,0,0
applying-VBG,8,0,1,3,3,0,2,2,0,1,1
day-NN,258,17,38,38,8,144,7,17,15,5,6
newly-RB,54,5,36,5,0,1,7,0,2,0,0
early-JJ,254,51,27,71,28,34,22,53,13,15,10
totaled-VBD,39,16,10,1,6,9,0,1,0,2,3
forcing-NN,4,0,1,1,0,2,0,0,1,0,0
taxpayers-NNS,6,2,0,0,1,2,1,0,0,0,1
par-NN,18,13,4,1,0,1,0,0,0,0,0
enrollment-NN,16,0,0,0,16,0,0,0,0,4,16
keys-NNS,4,2,1,1,0,0,0,0,0,0,0
treasury-NN,208,3,12,128,4,9,28,62,0,1,1
quarter-NN,1092,807,58,26,6,54,106,64,3,1,3
amended-VBN,9,0,9,0,0,1,0,0,0,0,0
majority-NN,87,15,59,1,4,5,2,2,2,4,1
sumita-NN,46,0,0,40,0,0,2,16,0,0,0
haltenbanken-NN,4,0,0,0,0,4,0,0,0,0,0
fault-NN,6,0,0,3,0,1,2,0,2,0,0
amended-VBD,7,1,6,0,0,0,0,0,0,0,0
missiles-NNS,52,0,2,0,0,25,2,0,48,0,0
chipmakers-NNS,14,0,2,0,0,0,12,0,0,0,0
throughput-NN,7,0,1,0,0,7,0,0,0,0,0
revolving-VBG,4,2,2,0,0,0,0,0,0,0,0
earning-VBG,7,4,3,0,0,0,0,0,0,0,0
meyer-NN,8,3,1,1,3,0,0,0,0,0,3
kohl-NN,4,0,0,0,0,0,3,1,0,0,0
microchips-NNS,30,0,2,1,0,0,27,0,0,0,0
soya-NN,5,0,1,0,2,0,0,0,2,0,1
minnesota-NN,15,4,6,0,4,0,0,0,1,1,3
unless-NN,4,1,1,2,0,0,0,0,0,0,0
criminal-JJ,6,5,1,0,0,0,0,0,0,0,0
micro-NN,9,2,6,0,0,0,1,0,0,0,0
meaningful-JJ,10,0,3,4,0,2,1,0,0,0,0
explain-VB,8,0,2,4,1,0,3,0,0,0,1
minute-NN,4,1,0,1,1,0,1,0,1,0,0
profitability-NN,41,29,6,1,2,3,1,1,0,1,0
reflect-NN,5,2,1,0,1,1,0,0,0,0,0
sweetener-NN,9,0,0,0,9,0,0,0,0,0,9
grant-NN,6,1,3,0,0,0,2,0,0,0,0
convince-VB,6,0,0,0,0,1,5,0,0,0,0
lp-NN,17,3,14,0,0,0,0,0,0,0,0
argyll-NN,5,0,5,0,0,0,0,0,0,0,0
contribute-VB,28,10,4,4,2,1,7,2,0,2,1
becoming-VBG,27,2,4,12,2,2,6,3,0,1,1
range-NN,115,28,23,30,8,8,4,16,6,1,4
worlds-NNS,70,4,13,9,7,16,15,2,7,5,0
cables-NNS,4,1,2,0,0,0,0,0,1,0,0
tensions-NNS,12,0,1,4,0,1,6,0,1,0,0
left-VBD,17,1,3,5,3,0,1,6,1,3,1
left-VBN,56,3,10,12,8,9,12,9,9,4,3
portland-NN,21,2,9,0,10,0,0,0,10,0,0
donors-NNS,4,0,0,0,0,0,2,2,0,0,0
coffee-VBP,6,0,0,1,0,0,1,0,4,0,0
style-NN,5,1,1,1,0,1,1,0,0,0,0
to--NONE-,24,2,7,3,3,5,6,2,0,1,1
demanding-VBG,5,0,0,1,0,2,1,0,1,0,0
airways-NNS,17,11,5,1,0,0,0,0,0,0,0
cawll-NN,12,1,9,0,0,0,3,0,0,0,0
aviation-NN,39,8,28,0,0,1,1,0,1,0,0
approached-VBN,13,0,8,1,0,3,1,1,1,0,0
approached-VBD,6,0,2,2,0,1,0,1,0,0,0
peavey-NN,5,0,0,0,5,0,0,0,2,2,1
so-called-JJ,34,2,5,7,5,3,10,2,3,2,1
patents-NNS,12,3,4,0,0,0,5,0,0,0,0
div-NN,124,124,0,0,0,0,0,0,0,0,0
lbo-NN,22,0,22,0,0,0,0,0,0,0,0
wroblewski-NN,4,0,0,4,0,0,4,4,0,0,0
est-JJS,21,0,12,1,5,0,0,2,2,4,1
expired-VBD,10,0,10,0,0,0,0,0,0,0,0
expired-VBN,11,0,11,0,0,0,0,0,0,0,0
library-NN,5,0,5,0,0,0,0,0,0,0,0
hajime-NN,8,0,1,2,0,0,5,0,0,0,0
climate-NN,18,5,1,3,1,5,4,1,1,0,1
allis-chalmers-NNS,21,10,21,0,0,0,0,0,0,0,0
down-RB,36,11,3,1,6,7,6,4,3,3,2
down-RP,84,9,10,17,8,18,16,12,2,4,5
basin-NN,30,5,12,0,1,21,0,0,1,1,0
expressed-VBD,17,0,4,0,2,5,5,2,2,2,0
soriano-VBP,4,0,4,0,0,0,0,0,0,0,0
avon-NN,4,1,3,0,0,0,0,0,0,0,0
expressed-VBN,31,1,17,4,3,0,4,1,2,2,2
greek-NN,31,0,0,0,1,30,0,0,23,1,0
reserve-VB,4,2,0,0,0,2,0,0,0,0,0
signalled-VBN,5,0,0,3,0,1,1,2,0,0,0
mexico-VB,4,1,0,1,2,0,1,0,0,1,0
timing-VBG,4,0,2,0,1,1,0,0,0,0,1
wmx-NN,6,0,6,0,0,0,0,0,0,0,0
jonathan-IN,4,1,3,0,0,0,0,0,0,0,0
calny-NN,12,0,12,0,0,0,0,0,0,0,0
affect-VB,56,20,3,9,9,5,7,4,4,3,6
sealy-RB,22,7,17,0,0,0,0,0,0,0,0
higher-JJR,337,111,41,33,43,66,20,41,12,21,21
specify-VB,18,2,13,2,0,0,2,1,1,0,0
pods-NNS,4,0,0,0,4,0,0,0,0,0,4
liffe-NN,10,0,0,10,0,0,0,0,0,0,0
proposed-VBD,46,11,13,4,4,5,11,1,3,3,1
fellow-JJ,4,2,0,0,0,2,0,0,0,0,0
leads-VBZ,4,0,0,2,0,0,2,0,0,0,0
favor-NN,29,1,14,1,9,2,2,0,0,7,3
quite-RB,23,2,2,8,3,3,3,3,0,1,2
assurance-NN,17,4,10,0,2,2,1,0,1,2,0
workers-NNS,98,9,19,2,5,16,5,1,49,1,0
pemex--NONE-,5,0,0,0,0,5,0,0,0,0,0
italy-RB,59,2,15,16,20,1,5,4,5,14,11
non-us-JJ,6,0,2,0,2,0,1,0,3,2,0
artificial-JJ,5,1,3,0,0,0,1,0,0,0,0
michigan-JJ,7,2,4,0,1,0,0,0,0,1,0
investigation-NN,30,9,11,0,0,0,8,0,2,0,0
predict-VB,11,6,2,0,1,0,1,1,0,1,1
disastrous-JJ,4,1,1,0,2,0,0,0,0,1,2
keep-VB,95,4,11,24,9,21,15,10,21,4,4
include-NN,29,13,8,0,3,2,3,1,1,1,3
gmt--NONE-,5,0,0,1,3,1,0,0,0,2,1
cleanup-NN,4,3,1,0,0,0,0,0,0,0,0
rebuffed-VBN,5,0,4,0,1,0,0,0,0,1,0
clear-JJ,54,5,12,16,3,5,14,5,1,1,2
advertisement-NN,15,0,14,0,0,0,0,0,1,0,0
alden-NN,4,2,2,0,0,0,0,0,0,0,0
responding-VBG,17,2,6,2,0,2,2,3,1,0,0
wyss-NN,4,0,0,3,0,0,0,1,0,0,0
brought-VBD,19,4,2,4,2,4,0,3,3,2,2
brought-VBN,26,4,3,8,4,5,3,2,1,1,2
all--NONE-,5,0,1,0,0,0,4,0,0,0,0
tightening-NN,7,0,0,2,2,2,0,2,0,2,0
dutch-NN,66,16,19,11,8,1,0,1,14,0,2
dismiss-NNS,4,0,4,0,0,0,0,0,0,0,0
audit-NN,6,6,0,0,0,0,0,0,0,0,0
current-JJ,648,172,90,138,76,56,114,76,18,38,39
lot-NN,47,8,9,8,7,6,8,4,1,3,2
well-RB,318,82,67,41,24,62,53,25,7,15,6
staple-NN,4,3,0,0,1,0,0,0,0,1,1
exist-VBP,8,1,1,1,3,2,0,1,0,1,1
queries-NNS,6,3,2,0,0,0,1,0,0,0,0
person-NN,19,3,10,0,2,1,1,0,2,2,0
ounces-NNS,24,6,18,0,0,0,0,0,0,0,0
regarding-VBG,27,2,10,8,3,1,4,2,0,2,1
western-VBP,7,2,1,1,1,1,1,0,0,0,1
adhesives-NNS,8,0,8,0,0,0,0,0,0,0,0
conable-JJ,31,0,0,0,0,9,22,0,0,0,0
ecu-NN,10,0,0,7,3,0,0,0,0,1,1
house-VBP,10,0,3,1,2,1,3,0,0,2,1
alleghany-NN,9,2,7,0,0,0,0,0,0,0,0
terminal-JJ,39,1,11,0,6,15,0,0,19,0,2
drilling-NN,29,1,3,0,1,24,2,0,0,1,0
be-NN,5,1,0,3,0,0,3,0,0,0,0
maintains-NNS,5,0,1,1,0,2,1,0,0,0,0
decided-VBN,63,8,21,3,13,9,7,1,7,4,7
debentures-NNS,68,20,43,0,0,0,0,7,0,0,0
decided-VBD,54,5,24,4,6,4,4,6,3,1,4
ryzhkov-NN,4,0,0,0,0,0,4,0,0,0,0
cope-VB,8,3,0,3,0,0,0,0,2,0,0
conglomerate-NN,13,4,9,0,0,0,0,0,0,0,0
waste-VB,5,0,4,0,1,0,0,0,0,0,0
express-NN,100,18,95,0,0,0,2,3,1,0,0
off-JJ,11,1,2,0,1,7,0,0,0,1,0
clercq-NN,21,0,0,0,0,0,21,0,0,0,0
kuwait-VB,7,0,1,1,0,4,0,0,5,0,0
engaged-VBN,15,2,10,0,2,1,0,0,0,2,0
armed-VBN,7,1,0,0,1,4,2,0,3,0,0
mills-NNS,31,5,13,6,3,6,0,0,0,2,0
rha-NN,17,0,0,1,0,0,17,0,0,0,0
retaliatory-NN,26,0,1,0,2,0,23,0,0,0,2
fairchilds-NNS,4,0,4,0,0,0,0,0,0,0,0
experienced-VBD,4,2,0,0,0,1,1,0,0,0,0
experienced-VBN,5,0,1,2,2,0,0,0,0,1,1
insignificant-JJ,4,1,0,0,2,1,2,0,0,2,0
banks-NNS,819,157,121,331,2,38,20,264,14,1,1
commodity-NN,148,5,3,28,87,9,16,4,6,52,22
shattner-NN,7,7,0,0,0,0,0,0,0,0,0
registered-VBN,31,10,8,0,7,2,0,0,4,5,2
registered-VBD,6,1,0,1,0,2,2,0,0,0,0
carter-NN,9,4,3,1,0,1,0,0,0,0,0
recover-RB,4,2,1,0,0,0,0,0,1,0,0
gilt-NN,7,0,0,6,0,0,2,5,0,0,0
finance-NN,240,30,44,101,6,16,40,27,1,4,4
austria-NN,5,1,3,0,0,0,1,0,0,0,0
messenger-NN,4,0,4,0,0,0,0,0,0,0,0
match-NN,16,0,16,0,0,0,0,0,0,0,0
welcomed-VBN,6,0,0,3,0,2,1,1,0,0,0
welcomed-VBD,10,2,1,3,0,0,3,4,0,0,0
may-MD,996,398,198,90,140,66,52,76,37,69,78
around-IN,469,54,45,221,48,63,43,78,14,22,23
quantify-VB,7,3,1,2,0,0,0,0,1,0,0
malaysia-NN,18,2,4,0,4,4,5,0,1,3,0
rothschild-NN,14,1,12,0,0,4,0,0,0,0,0
NUMBER-NUMBER-NUMBER-CD,4,0,0,0,0,3,0,1,0,0,0
nugent-NN,7,0,0,0,0,7,0,0,0,0,0
sometimes-RB,5,0,0,3,2,0,0,0,0,0,1
sosnoffs-NNS,14,0,14,0,0,0,0,0,0,0,0
houston-NN,35,11,17,0,1,7,0,0,1,1,0
awarded-VBD,10,1,0,0,9,0,0,0,0,6,1
rates-NNS,749,41,8,383,25,12,56,444,16,5,18
awarded-VBN,17,1,1,0,7,4,0,0,4,4,4
stage-NN,41,8,4,7,10,6,4,4,2,6,2
decisive-JJ,5,1,0,3,0,1,2,2,0,0,0
procedure-NN,12,3,0,0,1,1,2,0,5,1,1
suitable-JJ,9,0,3,2,2,1,1,1,1,2,1
exactly-RB,11,1,2,3,0,1,3,2,0,0,0
shipbuilders-NNS,9,0,0,0,0,0,0,0,9,0,0
reputation-NN,6,1,3,0,0,0,2,0,0,0,0
hovered-VBN,5,0,0,5,0,0,0,2,0,0,0
divestitures-NNS,10,2,8,0,0,0,0,0,0,0,0
horizon-NN,14,2,13,0,0,0,0,0,0,0,0
sausage-NN,4,1,3,0,0,0,0,0,0,0,0
membership-NN,17,0,0,8,5,2,2,2,0,1,1
dai-ichi-NNP,4,0,0,4,0,0,0,0,0,0,0
conditional-JJ,15,0,14,0,1,0,0,0,0,1,0
dispute-VBP,4,0,0,0,0,0,4,0,0,0,0
retail-VBP,5,1,2,0,0,0,1,1,0,0,0
galveston-NN,6,0,6,0,0,0,0,0,0,0,0
hkbhhk-NN,4,3,1,0,0,0,0,0,0,0,0
englands-NNS,4,0,0,3,0,0,0,3,0,0,0
books-NNS,27,15,5,4,0,0,2,1,1,0,0
guillaume-NN,5,0,0,0,4,0,1,0,0,0,0
earned-VBN,9,6,1,2,0,0,0,0,0,0,0
step-VB,16,1,2,1,6,1,3,1,1,2,2
excesses-NNS,7,0,4,2,0,1,0,0,0,0,0
followed-VBD,20,1,1,1,4,4,5,3,4,2,2
earned-VBD,115,91,20,5,0,2,1,0,0,0,0
past-NN,8,2,4,0,0,1,0,1,1,0,0
retain-VB,34,10,17,2,1,4,1,1,0,1,0
businessman-NN,9,0,6,2,0,0,1,0,0,0,0
harbour-NN,10,1,0,0,0,1,0,0,9,0,0
explanation-NN,7,0,4,0,0,1,1,1,0,0,0
brazils-NNS,78,11,1,8,2,17,10,9,27,0,2
distributes-VBZ,5,1,4,0,0,0,0,0,0,0,0
fomc-NN,8,0,0,5,0,0,0,5,0,0,0
travelled-VBN,4,1,0,2,1,0,1,0,0,1,1
havent-VBP,9,0,2,1,3,1,3,0,0,3,0
southwest-NN,17,4,10,0,2,1,0,0,0,1,0
observers-NNS,7,0,0,1,2,1,3,2,0,2,2
nature-NN,15,0,10,3,1,1,0,0,1,1,0
gradually-RB,20,4,1,5,4,2,3,2,2,0,1
deterioration-NN,21,6,1,2,0,3,8,0,7,0,0
into-IN,565,79,194,81,55,62,76,31,33,14,28
andreas-NNS,5,0,0,0,0,5,0,0,5,0,0
critics-NNS,7,0,0,2,1,2,4,0,2,0,0
negotiating-VBG,40,3,20,2,0,5,8,0,4,0,0
chain-NN,37,13,25,1,0,0,0,1,0,0,0
term-NN,151,47,24,37,8,14,18,29,2,4,4
hectares-NNS,59,0,0,0,54,0,4,1,1,12,32
focusing-VBG,8,3,3,2,0,0,0,2,0,0,0
believes-NNS,17,3,5,2,0,5,2,1,0,0,0
floated-VBD,4,3,0,1,0,0,0,0,0,0,0
trans-NNS,20,0,20,0,0,0,0,0,0,0,0
floated-VBN,6,1,2,3,0,0,0,0,0,0,0
participations-NNS,4,2,2,0,0,0,0,0,0,0,0
back-NN,7,1,1,3,0,0,1,2,0,0,0
uncertainty-NN,30,5,3,7,3,6,4,5,1,1,3
southam-NN,4,0,4,0,0,0,0,0,0,0,0
metall-NN,4,0,0,4,0,0,0,0,0,0,0
royalties-NNS,10,3,4,1,0,1,2,0,0,0,0
otherwise-RB,11,1,1,2,3,1,3,0,1,1,3
amounts-VBZ,5,1,2,0,1,0,0,1,0,0,1
mer-NN,6,0,4,0,0,2,0,0,0,0,0
